tag,movieId,score,tag_lowercase_dups,tag_punc_dups
zoom,27031,0.0,,
zoologist,351166,3.0,,
zookeeper,550165,5.0,,
zooey deschanel's awful singing voice,69757,-2.0,,
zooey deschanel,59260,6.0,Zooey Deschanel;,
zoo,3135582,38.0,Zoo;,
zone,1232,1.0,,
zombis,165879,0.0,,
zombified action,1261,-2.0,,
zombification,76076,3.0,,
zombies don't need to breathe,33834,-1.0,,
zombie vampire hybrid,56174,-1.0,,
zombie plot,40732,-5.0,,
zombie movie with vampires,55282,1.0,,
zombie film,97643,1.0,,
zombie attack,126070,1.0,,
zombie apocalyptic,164395,1.0,,
zombie animals,50613,1.0,,
zombie,32279327,421.0,Zombie;,
zom rom com,8874,1.0,,
zoltan,4015,-3.0,,
zoeey deschanel,138623,-4.0,,
zoe mclellan,136996,1.0,,
zoe kravitz,135141,1.0,Zoe Kravitz;,
zodiac killer,183047,1.0,,
zodiac,423587,2.0,,
zlist1,789815,8.0,,
zizek's pick,2076,1.0,Zizek's pick;,
zither,1212,0.0,,
zip line,79592,1.0,,
zionism,957167,7.0,,
zinnia,25861,1.0,,
zimbabwe,6899,1.0,Zimbabwe;,
ziegfeld follies,220834,2.0,,
ziegfeld,1932,1.0,,
zibri studio,121387,-64.0,,
zhun long,1960,-1.0,,
zeus,550779,6.0,,
zest for life,916,3.0,,
zero gravity,140964,28.0,,
zero entertainment value,78039,0.0,,
zero 7,8784,-2.0,,
zero,181415,1.0,,
zeppelin,199587,7.0,,
zen film,149098,1.0,,
zen,318117,5.0,Zen;,#zen;
zeitreise,189497,1.0,,
zeitgeist-y,296,1.0,,
zeitgeist unknown,86320,2.0,,
zeitgeist,169335,0.0,,
zeichnungen als übergang,3438,0.0,,
zehlendorf,66655,1.0,,
zeh,25774,1.0,,
zegist,73392,0.0,,
zef,120466,0.0,,
zebras,33615,-2.0,,
zebra,755921,7.0,,
zealous,46753,1.0,,
zealots,89072,0.0,,
zealot,113420,2.0,,
zarzuela,315963,2.0,Zarzuela;,
zar,214033,2.0,,
zanzibar,5234,1.0,,
zany,653568,4.0,,
zamindar,167466,1.0,,
zajebiste :),6711,-13.0,,
zaire,126560,2.0,,
zack snyder,136864,15.0,Zack Snyder;,
zac efron,262029,3.0,Zac Efron;,
zaborgor,105147,1.0,,
zabawna przygoda,3489,-9.0,,
yyyy,55247,-35.0,,
yurt,84708,2.0,,
yuri,142450,1.0,,
yurei,109514,1.0,,
yuppies,75482,10.0,,
yuppie,72715,14.0,,
yuma,125047,2.0,,
yukon,765285,6.0,,
yugoslavian history,171793,1.0,,
yugo,7102,1.0,,
yuen woo-ping,26842,0.0,,
yuen chor,204682,-2.0,,
yucky,2581,0.0,,
yuck,10046,-5.0,,
yucatec maya language,48304,1.0,,
yucatan,185947,1.0,,
ytutyki,1025,-7.0,,
ytmnd,4019,-7.0,,
ystad,86277,1.0,,
yoyoyo,50872,-1.0,,
you've seen them all.,1429,-3.0,,
youtubers,169804,1.0,,
youtuber,308064,2.0,,
youtube,9131334,31.0,YouTube;Youtube;,
youth-enhancing drug,187415,1.0,,
youth sports,239381,2.0,,
youth rebellion,46478,1.0,,
youth power,48239,1.0,,
youth leader,146632,1.0,,
youth hostel,58520,1.0,,
youth gone wild,86300,14.0,,
youth gang,931807,16.0,,
youth culture,885675,5.0,,
youth correctional facility,173965,1.0,,
youth comedy,83134,1.0,,
youth cinema,117543,1.0,,
youth choir,6837,1.0,,
youth center,34620,2.0,,
you're tearing me apart lisa,74754,7.0,,
you're gonna die clown,104,-7.0,,
your shirt look like a curtain,837,-3.0,,
your ratings,2673,-2.0,,
your out of ur element donnie!!!!,1732,-8.0,,
youngsters,331713,3.0,,
youngster,194165,5.0,,
younger woman-older man relationship,293,1.0,,
younger version of character,1357,-1.0,,
younger sister,204095,5.0,,
younger men,5505,-1.0,,
younger brother,1033493,12.0,,
younger Gandalf,205298,1.0,,
young women,114265,1.0,,
young woman,1329009,14.0,,
young wife,101473,3.0,,
young wedding,188751,1.0,,
young target audience,150148,1.0,,
young soldier,112196,2.0,,
young singer,179397,1.0,,
young sexual education,3548,0.0,,
young scholar,3808,1.0,,
young romance,33642,2.0,,
young prostitute,295799,4.0,,
young pioneer,103388,1.0,,
young parents,269279,1.0,,
young mother,67267,0.0,,
young meryl streep,1096,0.0,,
young man seduces old man,2480,1.0,,
young man,459643,4.0,,
young kids,1866,-8.0,,
young kid,72703,0.0,,
young jim carrey,101680,0.0,,
young intellectuals,59519,1.0,,
young heroes,98525,5.0,,
young girls,120819,1.0,,
young girl,1226978,11.0,,
young entrepreneur,80463,1.0,,
young daughter,170121,1.0,,
young couple,1253876,9.0,,
young boy,2089298,23.0,,
young animator training project,319956,2.0,,
young age classic,1584,-1.0,,
young adults,161642,1.0,,
young adulthood,187873,1.0,,
young actresses,164528,1.0,,
young Harrison Ford,1198,3.0,,
young Anakin,48984,-11.0,,
young & old,6711,1.0,,
young,638831,7.0,Young;,
you'll like the film,112481,0.0,,
you'll also like The Royal Tennanbams,30810,-6.0,,
youkai,157485,1.0,,
you will love it.,6723,-3.0,,
you will laugh,94677,-3.0,,
you still wake up sometimes don't you? you wake up in the dark and hear the screaming of the lambs,593,0.0,,
you might laugh your head out.,2302,-7.0,,
you mean he gets to go back inside the...oh lucky,64957,-9.0,,
you know it,31658,-1.0,,
"""you had me ay ""hello""",1393,1.0,,
you complete me,1393,-6.0,,
you,6513,0.0,,
yoshikawa,159988,1.0,,
yonkers new york,12185,2.0,,
yolo,167038,1.0,,
yolandi,120466,0.0,,
yoko ono,153151,2.0,,
yokel,47196,1.0,,
yokai,45419,2.0,,
yogi,233045,2.0,Yogi;,
yogananda,132954,1.0,,
yoga instructor,155368,1.0,,
yoga,1314232,12.0,Yoga;,
yodeler,47146,1.0,,
yoda,5638,7.0,Yoda;,
yoakam,4379,1.0,,
yo yo,454078,3.0,,
ymca,2003,1.0,,
yjuyjut,26674,-1.0,,
yitzhak rabin,126385,1.0,,
yismach hatani,166862,1.0,,
yipikaye mother fucker,1036,1.0,,
yingyang,55167,0.0,,
ying yang,6934,1.0,,
yin yang,6934,1.0,,
yihad,128671,1.0,,
yigal amir,126385,1.0,,
yiddish writer,5012,1.0,,
yiddish,176605,1.0,Yiddish;,
yeye,84734,0.0,,
yeu,3911,-1.0,,
yeti,1131146,11.0,,
yet to watch,260,0.0,,
yet to seen,134130,-6.0,,
yet to see,267744,-3.0,,
yes-we-can,85881,-1.0,,
yes-they-deserved-to-die,805,1.0,,
yeshiva,5012,1.0,,
yes,1287,0.0,,
yen,26675,1.0,,
yellowstone,459524,3.0,,
yellowface,679356,4.0,,
yellow water,40819,-2.0,,
yellow sea,177271,1.0,,
yellow press,65693,4.0,,
yellow paint,104137,1.0,,
yellow fever,7078,1.0,,
yellow face,185371,1.0,,
yellow dress,147591,1.0,,
yellow car,102407,-1.0,,
yellow cab,26465,1.0,,
yellow brick road,919,-3.0,,
yellow bikini,7257,1.0,,
yellow,192501,-10.0,,
yelling,113631,3.0,,
yell,8985,-3.0,,
years of lead,120128,2.0,,
yearning,64993,3.0,,
yearbook,335297,3.0,,
year 2005,114273,1.0,,
year,76258,2.0,,
yeah but damn is she hot,37877,-6.0,,
yeah,2683,-8.0,,
ye haw! Ride em cowboy!!!!,39183,-4.0,,
yayan ruhian,110501,2.0,Yayan Ruhian;,
yay! Jack B. :),6281,-9.0,,
yardie,97196,1.0,,
yard sale,87522,1.0,,
yapping dog,132983,1.0,,
yaoi,189229,1.0,,
yankii,189007,1.0,,
yankee stadium bronx new york city,2797,1.0,,
yankee,121515,2.0,,
yale university,3385,1.0,,
yale,268744,2.0,,
yakuza,7774522,96.0,Yakuza;,
yakluza,74653,1.0,,
yak,156393,2.0,,
yachtsman,184265,3.0,,
yacht club,79327,1.0,,
yacht and yachting,125301,1.0,,
yacht,3690497,40.0,,
ya boy,1,-9.0,,
y,58559,0.0,,
x-yudkowsky,3489,1.0,,
x-yb,167122,0.0,,
x-yann,215924,2.0,,
xx,4246,-2.0,,
x-vu,393647,6.0,,
xvgb,2125,-5.0,,
x-var,184651,2.0,,
x-tvtropes,7836,1.0,,
x-tom,100108,1.0,,
xtina,83086,3.0,,
x-telerama-dialogues,45134,1.0,,
x-tanguy,59900,1.0,,
x-sonia-devillers,1291,1.0,,
x-seb,4027,1.0,,
x-rejeu,2360,1.0,,
x-ray vision,786,1.0,,
x-ray spex,319658,2.0,,
x-ray,339648,5.0,,xray;
x-mom,468830,4.0,,
x-ml,140110,1.0,,
x-men wanna-be,111670,-1.0,,
x-men III,45499,1.0,,
x-max,79357,1.0,,
x-mas movie,1161,-10.0,,
x-martin,389857,3.0,,
x-madore,302855,2.0,,
xi jinping,175167,1.0,,
xgdh,2423,-5.0,,
x-false-memories,169762,1.0,,
xenophoby,55625,-1.0,,
xenophobic?,517,0.0,,xenophobic;
xenophobia,2794965,83.0,,
xenomorph,247473,19.0,,
x-dad,541804,5.0,,
x-best-French-film-ever,6783,1.0,,
xavier dolan,160990,5.0,Xavier Dolan;,
x-astier-comedie,4395,1.0,,
x-astier,3471,0.0,,
x-aru,246687,2.0,,
x-arnold,135296,1.0,,
xanax,217685,2.0,,
x-anael,130124,4.0,,
x-adeline,168941,4.0,,
xXx,206403,3.0,,
x-Alain Damasio,72630,1.0,,
x wing,6593,-18.0,,
x men,215134,3.0,,
x-/.,154220,2.0,,
würzburg,7843,1.0,,
wysportowany,150904,1.0,,
wyrm,4518,1.0,,
wyoming,1770162,16.0,Wyoming;,
wyatt earp,653366,8.0,Wyatt Earp;,
wyandottes,165003,1.0,,
wy,342,0.0,,
www.thestopbutton.com,6787,0.0,,
wwi aesthetic,189483,1.0,,
wwi,173781,2.0,WWI;wwI;,
wwe,340219,3.0,WWE;,
wwII,456509,2.0,WWII;wwii;,
wuxia fiction,8832,1.0,,
wuxia,2893529,32.0,Wuxia;,
wushu,101618,1.0,,
wushi,1217,0.0,,
wurstsalat,6603,-2.0,,
wunschkind,96943,1.0,,
wuerzburg,7843,0.0,,
wu tang,6857,0.0,,
wu shu,230116,3.0,,
#wtf,140074,1.0,,wtf;wtf?;wtf?!;
wry humor,296,1.0,,
wry,446844,28.0,,
wrongly punished,2224,1.0,,
wrongly convicted,138928,5.0,,
wrongly accused,2020045,63.0,Wrongly accused;,
wrongfully funny,2318,-2.0,,
wrongfully accused,279280,2.0,Wrongfully Accused;,
wrongful suspicion,127699,1.0,,
wrongful sentence,178843,0.0,,
wrongful imprisonment,654264,37.0,,
wrongful conviction,1844033,17.0,,
wrongful arrest,751444,12.0,,
wrong turn,152295,2.0,,
wrong title,140713,1.0,,
wrong. so wrong,29339,-8.0,,
wrong side of the tracks,160890,3.0,,
wrong science,91660,1.0,,
wrong poster,159159,1.0,,
wrong number,98327,2.0,,
wrong morals,5890,-1.0,,
wrong message,152017,1.0,,
wrong facts,74624,1.0,,
wrong diagnosis,134571,3.0,,
wrong approach,115680,1.0,,
wrong address,166480,1.0,,
wrong accusal,284123,7.0,,
wrong accents,95875,-2.0,,
wrong Max,122882,0.0,,
wrong,134329,-6.0,,
wron,318,1.0,,
writting,149796,1.0,,
written epilogue,5065,0.0,,
written by a 14-year-old boy,88129,0.0,,
writing process,72624,11.0,,
writing on a glass window,175277,1.0,,
writing in blood,4093,1.0,,
writing could have been better,95443,1.0,,
writing class,10571,2.0,,
writing a poem,156605,1.0,,
writing a check,41025,1.0,,
writer's script,4037,-1.0,,
writer's process,4044,1.0,,
writer's life,44555,0.0,WRITER'S LIFE;,
writer's block,1555128,17.0,,writers block;
writers at work,212671,-7.0,,
writers,4381233,128.0,,
writer-director,6291,1.0,,
writer:Robert Benton,3111,0.0,,
writer:Michael Crichton,6990,0.0,,
writer:Julian Fellowes,82115,0.0,,
writer:David Mamet,5348,0.0,,
writer:Andrew Lloyd Webber,7060,-1.0,,
writer: simon pegg,135569,1.0,,
writer biography,1959,-1.0,,
writer as protagonist,50189,-2.0,,
writer and director,186009,1.0,,
writer: Zack Estrin,69654,1.0,,
writer: Stephan Talty,105504,1.0,,
writer: Spike Lee,3246,1.0,,
writer: Seth Hoffman,69654,1.0,,
writer: Roberto Orci,135569,1.0,,
writer: Patrick McKay,135569,1.0,,
writer: Neil Simon,5113,0.0,,
writer: Miles Millar,8636,1.0,,
writer: Michael Chabon,8636,1.0,,
writer: Menno Meyjes,2334,1.0,,
writer: Karyn Usher,69654,1.0,,
writer: Kalinda Vazquez,69654,1.0,,
writer: John D. Payne,135569,1.0,,
writer: Jo Heims,4855,1.0,,
writer: Gene Roddenberry,135569,1.0,,
writer: Edward Zwick,2334,1.0,,
writer: Doug Jung,135569,1.0,,
writer: Christian W. Trokey,69654,1.0,,
writer: Arnold Perl,3246,1.0,,
writer: Alvin Sargent,8636,1.0,,
writer:  Malcolm X,3246,1.0,,
wristwatch,150708,3.0,,
wrist watch,180869,2.0,,
wrist slitting,153734,2.0,,
wrings the emotions too much,1958,-3.0,,
wright brothers,284356,2.0,,
wretched,35294,-5.0,,
wretch,783941,19.0,,
wrestling team,174443,1.0,,
wrestling coach,260324,2.0,,
wrestling,6359371,82.0,Wrestling;,
wrestler,1397176,16.0,,
wrestlemania,176683,1.0,,
wresting,185287,1.0,,
wrecking yard,117672,2.0,,
wrecking crew,265232,2.0,,
wrecker,45517,1.0,,
wreck a movie,118266,1.0,,
wreck,151777,1.0,,
wreath,4103,1.0,,
wrath of god,87138,2.0,,
wrath,373487,4.0,,
wraith,172709,1.0,,
wrack,37853,1.0,,
wowow,5952,0.0,,
wow - so much better than Constant Gardener...,3720,-8.0,,
wow,311481,0.0,,
wounds to weapons,63181,1.0,,
wounds,175809,1.0,,
wounded warrior,180567,1.0,,
wounded soldier,110625,2.0,,
wounded horse,65935,1.0,,
wounded,451858,6.0,,
wound,789423,21.0,,
wouldn't see again,5697,-21.0,,
would you please let them tell the joke?,34338,-7.0,,
would you like to know more?,1676,-5.0,,
would see again,11007,-2.0,,
would kill not to watch,6483,1.0,,
would have benefited from higher production values,8581,-3.0,,
would have been better if I hadn't read the book,45447,-3.0,,
worthy,50872,1.0,,
worthwhile,20,0.0,,
worthless drunken husband,37855,0.0,,
worstmovieever,136305,0.0,,
worst thing,79684,-1.0,,
worst than original,8862,1.0,,
worst superhero,103042,-1.0,,
worst sex scene,114834,1.0,,
worst sequel to an already bad movie,53464,-2.0,,
worst plot,102991,0.0,,
worst of series,2412,0.0,,
worst movies ever,5,-6.0,,
worst movie of this year,46970,-8.0,,
worst movie ever. EVER.,135536,1.0,,
worst movie ever!,303200,4.0,Worst movie ever!;,worst movie ever;
worst movie,322573,0.0,,
worst hollywood movei I've ever seen,6966,1.0,,
worst films ever,6249,0.0,,
worst ever,2497,-7.0,,
worst ending possible,2078,1.0,,
worst ending ever,223597,1.0,,
worst documentary ever,34338,-4.0,,
worst denzel movie ever,4776,-10.0,,
worst animated flick ever,43926,-2.0,,
worst acting,6483,1.0,,
worst Disney movie,2033,0.0,Worst Disney Movie;,
worshipful,78517,-1.0,,
worship service,2212,1.0,,
worship of money,182825,1.0,,
worship,363305,4.0,,
worse then the book,69844,1.0,,
worse than the show,3264,2.0,,
worse than the book,305193,-2.0,,
worse than previous films,53125,1.0,,
worse than predecessors,59615,2.0,,
worse than part 1,108981,1.0,,
worse than expected,220247,-7.0,,
worse than book,86548,0.0,,
worse than Michael Moore,96941,-1.0,,
worse book,356,0.0,,
worrying,172814,2.0,,
worriesome,593,0.0,,
worried mother,37727,1.0,,
worn-out,3504,-5.0,,
worn out story,78499,0.0,,
worms,426275,9.0,Worms;,
wormhole,895938,119.0,,
worm,463301,5.0,,
worldwide disaster,103489,1.0,,
world's tallest building,2524,1.0,,
world's fair,284440,3.0,,worlds fair;
worlds collide,109321,1.0,,
world within a world,62511,4.0,,
world wide,97382,1.0,,
world war two,262576,2.0,,
world war iii,143235,2.0,World War III;world war III;,
world war i,7734331,77.0,World War I;world war I;,
world war 1,315019,2.0,World War 1;,
world war,534974,4.0,World War;,
world trade organisation,204985,2.0,,
world trade center,631715,6.0,World Trade Center;,
world tour,69830,0.0,,
world supremacy,359974,5.0,,
world religion,14653,3.0,,
world record,444542,6.0,World Record;,
world peace,4571,1.0,,
world of warcraft,148779,1.0,,
world of business,187723,2.0,,
world music,141006,1.0,,
world map,97382,1.0,,
world inside another world,154920,6.0,,
world events,307935,7.0,,
world end,3793,-4.0,,
world domination,1200846,16.0,,
world cup,843515,8.0,,
world championship,311175,3.0,,
world champion,782551,11.0,,
world banks,174233,1.0,,
world,1024434,9.0,,
worl,5995,0.0,,
workshop,6936,1.0,,
works of pure fiction,527,0.0,,
workplace romance,764411,9.0,,
workplace comedy,135204,2.0,,
workplace,1509156,84.0,,
workout,10449,1.0,,
workmen,248465,2.0,,
working women,182573,2.0,,
working woman,69005,1.0,,
working sucks,2502,-1.0,,
working poor,71418,0.0,,
working partners,164167,0.0,,
working out your shit,127140,1.0,,
working mum,89388,1.0,,
working mom,393208,3.0,,
working conditions,402111,2.0,,
working class,3623826,95.0,Working Class;Working class;,
workhouse,82007,1.0,,
workers union,179299,1.0,,
worker's rights,154288,1.0,,
workers' quarter,10837,2.0,,
worker's movement,114028,1.0,,
workers,273951,4.0,,
worker employed,4292,1.0,,
worker,854347,16.0,,
workaholic,1106915,21.0,,
work relationship,211598,2.0,,
work life balance,72011,1.0,,
work camp,151474,1.0,,
work abroad,184771,1.0,,
work,2903498,32.0,,
wordy,4873,2.0,,
words cannot explain how horrid this is,6482,-7.0,,
wordplay,8940,3.0,,
wordless,96606,6.0,,
word processing,4773,1.0,,
word play,85367,1.0,,
word game,147432,-1.0,,
word domination,87520,1.0,,
wool hat,140174,1.0,,
wool,7096,1.0,,
wookies,260,2.0,,
wookie,1196,1.0,,
woody allen's best movie,6750,1.0,,
woody allen,380883,6.0,Woody Allen;,
woodworking,54677,0.0,,
woodstock,609572,7.0,,
woods,8153382,80.0,Woods;,
woodpecker,346655,2.0,,
wooden leg,235311,3.0,,
wooden laptop,8939,0.0,,
wooden eye,6539,1.0,,
wooden dummy,160748,1.0,,
wooden delivery,474,-1.0,,
wooden boats,34336,1.0,,
woodcutter,288521,4.0,,
woodchipper,222647,3.0,,
wood chopping,253002,3.0,,
wood,730339,6.0,,
woo,80864,-2.0,,
wong jing,125594,0.0,Wong Jing;,
wong fei hong,186809,1.0,,
wondrful movie 4,112171,0.0,,
wonderwoman,136864,11.0,,
wonderlamp,152524,2.0,,
wonderfully warm and amusing,5268,-2.0,,
wonderfully dark,37729,-1.0,,
wonderfully convoluted story,92210,1.0,,
wonderful thoughts,79132,-1.0,,
wonderful surprise movie,112711,0.0,,
wonderful sets,6987,1.0,,
wonderful love,293,0.0,,
wonderful light touch,28250,-1.0,,
wonderful drama,1295,-1.0,,
wonderful child,1446,0.0,,
wonderful acting,356,0.0,,
wonder,480,1.0,,
won bin,27869,0.0,,
women's suffrage,321096,2.0,,
women's studies,86190,0.0,,
women's sports,94748,1.0,,
women's soccer,396941,4.0,,
women's sexual identity,766869,16.0,,
womens rights,141422,9.0,,
women's prison,3083781,33.0,,
women's liberation,163068,2.0,,
women's lib,313139,-6.0,Women's Lib;Women's lib;,
womens issues,248377,3.0,,
women's health,359904,2.0,,
women's friendships,109889,1.0,,
womens cunning,7696,-3.0,,
women's college,7154,1.0,,
women's bathroom,175267,1.0,,
women's auxiliary corps (Lotta),7809,0.0,,
women-centric,183741,1.0,,
women vs. men,1100933,5.0,,women vs men;
women portrayed as slutty and stupid,80463,-5.0,,
women oriented,104841,1.0,,
women movies vs men movies,539,0.0,,
women leaders,112743,1.0,,
women killing women,8137,1.0,,
women killer,78186,1.0,,
women killed first,163048,1.0,,
women japan world war w,41571,-5.0,,
women in the workplace,2245,0.0,,
women in sport,36925,3.0,,
women in refrigerators,404550,-6.0,,
women in refridgerators,110730,0.0,,
women in publishing,34608,0.0,,
women in charge,152389,1.0,,
women in business,163547,1.0,,
women hater,78186,1.0,,
women friendships,171095,1.0,,
women fighters,111931,1.0,,
women fight,615749,5.0,,
women fellowship,143387,1.0,,
women don't need men,138702,-1.0,,
women dominated society,152389,1.0,,
women disguised as men,162008,0.0,,
women dancing together,109397,1.0,,
women centered,5963,1.0,,
women boxer,148070,1.0,,
women as sexual objects,189753,2.0,,
women are smarter than men,95510,1.0,,
women and their drama,53002,1.0,,
women abuse,170471,1.0,,
womb,1972,2.0,,
woman-killer,55232,1.0,,
womanizing,333246,3.0,,
womanizer,2543008,36.0,,
womanhood,664550,5.0,Womanhood;,
woman written as hysterical,141954,0.0,,
woman with past,92609,1.0,,
woman with gun,1245373,11.0,,
woman vs woman fight,499947,5.0,,
woman soldier,113315,1.0,,
woman smoking,7043,1.0,,
woman smoker,61449,0.0,,
woman shaves a man,142758,1.0,,
woman seduces a man,161348,1.0,,
woman scorned,179745,1.0,,
woman scientist,2663,1.0,,
woman reporter,758060,10.0,,
woman protagonist,170815,1.0,,
woman power,1726796,15.0,,
woman played by man,164682,2.0,,
woman outsmarts man,55205,0.0,,
woman of age,185997,1.0,,
woman nudity,1998,1.0,,
woman medical student,5468,1.0,,
woman martyr,14356,2.0,,
woman leading character,152,1.0,,
woman leader,2336,1.0,,
woman lead,118804,22.0,,
woman lawyer,319520,3.0,,
woman kills a man,122882,-2.0,,
woman killer,110426,1.0,,
woman journalist,281266,2.0,,
woman in peril,151320,3.0,,
woman in jeopardy,1094867,12.0,,
woman in bathtub,154917,2.0,,
woman in armour,55274,0.0,,
woman impersonating man,123292,1.0,,
woman heroine,5963,1.0,,
woman hater,5891,0.0,,
woman empowerment,495130,7.0,,
woman empowering,2336,1.0,,
woman dressed as man,127690,1.0,,
woman disguised as men,5012,0.0,,
woman crying,102685,2.0,,
woman choosing family over career,158486,1.0,,
woman carried onto tall building,79127,-3.0,,
woman between two men,660843,14.0,,
woman beats up her husband,5387,0.0,,
woman as a main character,71239,0.0,,
woman and child,152103,1.0,,
woman - man friendship,103801,4.0,,
woman,992227,6.0,Woman;,
wolves are evil,91976,0.0,,
wolves,1898021,22.0,Wolves;,
wolverine cameo,87232,4.0,,
wolverine,303902,10.0,Wolverine;,
wolf's lair,83448,1.0,,
wolf's bane,2654,1.0,,
wolfs,98203,0.0,,
wolfman,672896,10.0,,
wolf whistle,1380,1.0,,
wolf pack,167325,1.0,,
wolf man,2647,1.0,,
wolf larsen,185352,2.0,,
wolf hunt,158840,1.0,,
wolf costume,136602,1.0,,
wolf,4707230,46.0,,
wojtek,180023,1.0,,
wobblies,130596,1.0,,
woaa,260,0.0,,
wizards,725191,176.0,Wizards;,
wizard fantasy,4993,2.0,,
wizard,3950230,79.0,Wizard;,
wixom library,76079,-2.0,Wixom Library;,
wity,8620,-1.0,,
witty lines,86298,0.0,,
witty dialogues,2163,2.0,,
witty banter,80549,1.0,,
witty action romance,41285,1.0,,
witty!,314348,-12.0,,
witshire,3221,1.0,,
witnesses,8220,1.0,,
witness to murder,1631137,23.0,,
witness to discrimination,42730,-1.0,,
witness to a crime,55185,2.0,,
witness relocation,3434,1.0,,
witness protection programme,220420,0.0,,
witness intimidation,89829,1.0,,
witness elimination,124863,2.0,,
witness,3141259,39.0,,
witless,93840,0.0,,
without teeth,128360,1.0,,
without romance,99112,9.0,,
without any especial new!,6373,-3.0,,
without annoying montages,7451,-10.0,,
without Martha,71593,-44.0,,
withdrawal,34320,3.0,,
with no payoff for sitting through it.,71379,-6.0,,
with a twist,62704,1.0,,
with SB as Odysseus?,7458,-10.0,,
witchhunts,39292,-1.0,,
witchhunt,9984,2.0,,
witches' coven,157346,1.0,,
witch trial,172584,2.0,,
witch hunter,360032,4.0,,
witch hunt,1539952,16.0,,
witch hazel,126066,1.0,,
witch doctor,536182,4.0,,
witch craft,50601,1.0,,
witch burning,371997,5.0,,
witch,18312849,353.0,Witch;,
wit,29728,2.0,,
